time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-31T22:12:27.620Z,39.0608333,-109.2958333,6.81,3.76,ml,19,102,0.5584,0.2,uu,uu60500212,2022-06-01T01:32:57.182Z,"37 km ENE of Thompson Springs, Utah",earthquake,0.5,3,0.149,29,reviewed,uu,uu
2022-05-31T08:40:31.950Z,36.1823333,-89.3766667,11.36,3.07,md,54,50,0.0408,0.14,nm,nm60397126,2022-06-01T01:26:01.223Z,"12 km NW of Newbern, Tennessee",earthquake,0.2,0.26,0.101,44,reviewed,nm,nm
2022-05-23T10:43:34.936Z,44.1849,-115.1621,6.4,3,ml,,41,0.824,1.29,us,us6000hn9c,2022-05-24T08:42:46.296Z,"18 km WSW of Stanley, Idaho",earthquake,2.9,5.8,0.038,90,reviewed,us,us
2022-05-22T09:58:57.362Z,47.4693,-115.8302,5,3,ml,,67,0.549,0.74,us,us6000hn38,2022-05-30T08:14:32.144Z,"2 km W of Mullan, Idaho",earthquake,2.9,1.9,0.036,104,reviewed,us,us
2022-05-16T06:16:50.290Z,34.0078333,-116.4448333,8.25,3.76,mw,115,21,0.07131,0.15,ci,ci40019919,2022-05-20T23:35:48.606Z,"7km NE of Desert Hot Springs, CA",earthquake,0.09,0.29,,6,reviewed,ci,ci
2022-05-15T00:00:02.667Z,32.6989,-104.4516,2.31,3.2,ml,,73,0.557,0.52,us,us6000hl7w,2022-05-24T23:07:56.040Z,"9 km SW of Atoka, New Mexico",earthquake,3.2,6.1,0.085,18,reviewed,us,us
2022-05-14T19:00:57.450Z,35.1055,-96.3135,2.6,3.12,ml,99,59,0,0.23,ok,ok2022jklo,2022-05-21T04:12:55.040Z,"6 km SSE of Yeager, Oklahoma",earthquake,,0.6,0.25,43,reviewed,ok,ok
2022-05-11T13:32:02.230Z,44.681,-109.9963333,13.95,4.22,ml,29,113,0.07345,0.22,uu,uu60497322,2022-05-16T17:49:47.647Z,"36 km S of Silver Gate, Montana",earthquake,0.61,0.87,0.36,6,reviewed,uu,uu
2022-05-09T21:35:33.550Z,33.0391667,-116.3538333,11.34,3.54,ml,124,21,0.08041,0.19,ci,ci40255120,2022-05-16T03:24:08.968Z,"24km E of Julian, CA",earthquake,0.11,0.28,0.129,275,reviewed,ci,ci
2022-05-09T05:32:47.550Z,34.1588333,-80.731,3.95,3.25,md,24,63,0.03703,0.32,se,se60393731,2022-05-31T10:43:06.786Z,"5 km ESE of Elgin, South Carolina",earthquake,0.49,0.69,0.086,18,reviewed,se,se
2022-04-21T18:58:50.260Z,32.8948333,-115.5135,9.45,3.62,mw,55,39,0.04027,0.3,ci,ci40243288,2022-05-16T16:31:35.557Z,"7km NE of Imperial, CA",earthquake,0.27,0.62,,5,reviewed,ci,ci
2022-04-20T23:52:47.560Z,32.9191667,-115.515,7.92,3.25,ml,49,37,0.04231,0.31,ci,ci40242720,2022-05-07T04:42:59.040Z,"7km SSE of Brawley, CA",earthquake,0.31,0.66,0.15,76,reviewed,ci,ci
2022-04-20T05:19:44.850Z,32.918,-115.5111667,11.48,3.41,ml,55,72,0.04482,0.3,ci,ci40241880,2022-05-17T07:13:27.040Z,"7km SSE of Brawley, CA",earthquake,0.29,0.54,0.167,71,reviewed,ci,ci
2022-04-20T03:56:46.450Z,32.915,-115.5171667,7.69,3.29,ml,57,35,0.03903,0.36,ci,ci40241816,2022-05-24T23:25:54.040Z,"7km S of Brawley, CA",earthquake,0.3,0.63,0.156,88,reviewed,ci,ci
2022-04-19T20:30:08.420Z,32.9105,-115.5138333,11.46,3.72,mw,59,36,0.04045,0.31,ci,ci40241440,2022-05-18T15:22:30.230Z,"8km SSE of Brawley, CA",earthquake,0.27,0.51,,4,reviewed,ci,ci
2022-04-19T20:22:41.540Z,32.9095,-115.5165,11.77,3.61,mw,84,36,0.03804,0.32,ci,ci40241424,2022-05-18T15:24:11.076Z,"8km S of Brawley, CA",earthquake,0.2,0.35,,4,reviewed,ci,ci
2022-04-16T20:09:59.736Z,43.7272,-105.3608,0,3,ml,,79,1.035,0.97,us,us7000h2qq,2022-05-24T22:10:00.040Z,"10 km ESE of Wright, Wyoming",mining explosion,4.2,1.8,0.051,62,reviewed,us,us
2022-04-11T23:40:20.790Z,33.1728333,-115.6436667,7.73,3.24,ml,76,31,0.02046,0.2,ci,ci39990551,2022-04-25T20:59:18.040Z,"13km WNW of Calipatria, CA",earthquake,0.17,0.53,0.152,213,reviewed,ci,ci
2022-04-03T21:38:44.607Z,34.446,-106.8942,5,3,ml,,92,0.287,0.86,us,us7000gzg2,2022-05-09T21:54:50.040Z,"7 km WSW of Abeytas, New Mexico",earthquake,2.2,1.9,0.045,66,reviewed,us,us
2022-03-31T12:56:05.162Z,36.3781,-103.183,5,3.4,mb_lg,,91,1.244,0.56,us,us7000gypi,2022-05-04T13:09:59.040Z,"8 km S of Clayton, New Mexico",earthquake,2.7,1.9,0.041,157,reviewed,us,us
2022-03-29T21:11:26.997Z,41.4014,-106.5744,5,3.3,ml,,62,0.694,0.4,us,us7000gy83,2022-04-05T21:33:20.040Z,"10 km NNW of Ryan Park, Wyoming",earthquake,2,2,0.036,104,reviewed,us,us
